,MSE,RMSE_validation,RMSE_test,R_squared_validation,R_squared_test
Clear.Brand,0.004324319124246932,0.06449906782558248,0.06668421498326718,-0.5842152723353836,0.08827208053057412
Message.Delivery,0.014724137887354733,0.11926491824403858,0.11122058912840553,-0.30884791005513,0.014616827635045349
Clear,0.010984410572013086,0.10418007131723037,0.10382370308179031,-0.0876712446955964,0.07395955498487083
Understood,0.012481416648606535,0.11085328411407555,0.08895217811547078,-0.4757996695205974,0.1320141909252468
Reputation,0.015220589912309884,0.11941899559321285,0.10888336144220134,-0.43301285510575116,0.0803409986746697
Relevant,0.009645343569333423,0.09758539594012774,0.09380727343736599,-0.18095362450913202,0.1720891905239278
See.Again,0.011740821688433167,0.10729775061095866,0.10509175289724838,-0.10257990788033193,0.13328531038687552
Like,0.016855767821270243,0.12930125951083205,0.13922469911701918,-0.1487938383790677,-0.04089002376533957
Dislike,0.002126149221284988,0.045673614754146365,0.04289149400409466,-0.13897293775453629,0.17178299333838054
Purchase,0.003242309346537174,0.056083881713833585,0.0547244621309038,-0.6043814731720736,-0.17094213463186803
Recommend,0.002082266535437198,0.0454812761019898,0.04084552468574218,-0.14400042687131537,0.1038686686138286
Branding.Correct.Recall,0.007587753972685292,0.08634765281115356,0.07803956104022247,-0.31770765292351405,-0.24794770315394166
