,MSE,RMSE,R_squared
Clear.Brand,0.0007516654534944084,0.027416517895137747,0.8108378525952464
Message.Delivery,0.004014831555893971,0.0633626984581147,0.665155651457662
Clear,0.00396169866399427,0.0629420262145593,0.6337064976545199
Understood,0.0030959870998490853,0.055641595051266146,0.7014234886124903
Reputation,0.003970070674573806,0.06300849684426542,0.6658478125684988
Relevant,0.003496372527149226,0.05913013214215935,0.6172214056808316
See.Again,0.003189216125029232,0.05647314516678907,0.7227968819277893
Like,0.004894915728427293,0.06996367434910271,0.7074113579714303
Dislike,0.0006957881443328482,0.0263777964267838,0.6524122663489531
Purchase,0.0008658899428789787,0.029426007933101947,0.6412670776541145
Recommend,0.000983852113992053,0.03136641697727129,0.5004917428952445
Branding.Correct.Recall,0.002380028252940874,0.048785533234155326,0.6388775225514589
