,recall,f1_score,acc_validation,acc_test,mcc
Clear.Brand,0.7327526132404182,0.7327526132404183,0.7327526132404182,0.7580645161290323,0.324820295194429
Message.Delivery,0.5581881533101045,0.5581881533101045,0.5581881533101045,0.6290322580645161,0.21392687338505298
Clear,0.5144018583042974,0.5144018583042974,0.5144018583042974,0.6129032258064516,0.26996616408867097
Understood,0.621254355400697,0.621254355400697,0.621254355400697,0.6935483870967742,0.2678316642039598
Reputation,0.548432055749129,0.548432055749129,0.548432055749129,0.45161290322580644,-0.03052812554363318
Relevant,0.6358885017421604,0.6358885017421604,0.6358885017421604,0.6129032258064516,0.06784925998934217
See.Again,0.6168408826945413,0.6168408826945413,0.6168408826945413,0.5806451612903226,0.28750888316458945
Like,0.5580720092915216,0.5580720092915216,0.5580720092915216,0.6129032258064516,0.2485228516382393
Dislike,0.7183507549361209,0.7183507549361209,0.7183507549361209,0.7580645161290323,0.3540527577916593
Purchase,0.8006968641114982,0.8006968641114982,0.8006968641114982,0.8387096774193549,-0.06535342848721992
Recommend,0.6945412311265968,0.694541231126597,0.6945412311265968,0.7419354838709677,0.2991830368027063
Branding.Correct.Recall,0.7279907084785133,0.7279907084785133,0.7279907084785133,0.7903225806451613,-0.06770554443344254
