,MSE,RMSE,R_squared,R_squared_oob
Clear.Brand,0.0016501939592508809,0.04062257942635945,0.5847165364390781,0.08541361272812997
Message.Delivery,0.005594310844667417,0.07479512580821973,0.5334241687983116,0.2816519923347165
Clear,0.00520495714859585,0.07214538896281487,0.518756436261838,0.2319987004126398
Understood,0.004535635116644073,0.06734712404137297,0.5625840591776752,0.23939504665041356
Reputation,0.006238239838535381,0.07898252869170107,0.47494096235636674,0.0001380785184734723
Relevant,0.004869562479864788,0.06978225046431784,0.4668862466689747,0.12083886727174997
See.Again,0.005085467069377851,0.07131246082823009,0.5579768591342595,0.24318180132721157
Like,0.007864956789395016,0.08868459161204395,0.529880154369516,0.16714939219311797
Dislike,0.0009838911488475545,0.03136703921073129,0.5084876088034531,0.005184751333647264
Purchase,0.0013115424294830725,0.03621522372543172,0.45663597045052684,0.0663724775884843
Recommend,0.0011545769899947414,0.033979066938259826,0.41381358868515217,0.07628136385151485
Branding.Correct.Recall,0.0037789028503992586,0.06147278137842192,0.42662581518210463,-0.05430072213682302
